[2023-12-18 09:43:49]345
[2023-12-18 09:43:56]351
[2023-12-18 09:43:57]350
[2023-12-18 09:43:58]347
[2023-12-18 09:43:59]346
[2023-12-18 09:44:00]345
[2023-12-18 09:44:01]349
[2023-12-18 09:44:02]346
[2023-12-18 09:44:03]352
[2023-12-18 09:44:04]348
[2023-12-18 09:44:05]347
[2023-12-18 09:44:06]343
[2023-12-18 09:44:07]345
[2023-12-18 09:44:08]349
[2023-12-18 09:44:09]353
[2023-12-18 09:44:10]349
[2023-12-18 09:44:11]344
[2023-12-18 09:44:12]341
[2023-12-18 09:44:13]348
[2023-12-18 09:44:14]350
[2023-12-18 09:44:15]353
[2023-12-18 09:44:16]344
[2023-12-18 09:44:17]343
[2023-12-18 09:44:18]345
[2023-12-18 09:44:19]349
[2023-12-18 09:44:20]352
[2023-12-18 09:44:21]347
[2023-12-18 09:44:22]346
[2023-12-18 09:44:23]344
[2023-12-18 09:44:24]348
[2023-12-18 09:44:25]347
[2023-12-18 09:44:26]349
[2023-12-18 09:44:28]349
[2023-12-18 09:44:29]347
[2023-12-18 09:44:29]345
[2023-12-18 09:44:30]345
[2023-12-18 09:44:31]346
[2023-12-18 09:44:32]353
[2023-12-18 09:44:33]350
[2023-12-18 09:44:34]346
[2023-12-18 09:44:35]341
[2023-12-18 09:44:36]346
[2023-12-18 09:44:38]349
[2023-12-18 09:44:38]355
[2023-12-18 09:44:48] 366
[2023-12-18 09:44:50] 368
[2023-12-18 09:44:51] 372
[2023-12-18 09:44:51] 370
[2023-12-18 09:44:52] 367
[2023-12-18 09:44:54] 364
[2023-12-18 09:44:54] 363
[2023-12-18 09:44:56] 368
[2023-12-18 09:44:57] 369
[2023-12-18 09:44:58] 373
[2023-12-18 09:44:59] 368
[2023-12-18 09:45:00] 365
[2023-12-18 09:45:01] 363
[2023-12-18 09:45:01] 364
[2023-12-18 09:45:02] 367
[2023-12-18 09:45:03] 369
[2023-12-18 09:45:05] 371
[2023-12-18 09:45:05] 367
[2023-12-18 09:45:06] 365
[2023-12-18 09:45:24] 367
[2023-12-18 09:45:25] 370
[2023-12-18 09:45:26] 367
[2023-12-18 09:45:27] 364
[2023-12-18 09:45:28] 361
[2023-12-18 09:45:29] 361
[2023-12-18 09:45:30] 365
[2023-12-18 09:45:31] 366
[2023-12-18 09:45:32] 370
[2023-12-18 09:45:33] 370
[2023-12-18 09:45:34] 367
[2023-12-18 09:45:35] 365
[2023-12-18 09:45:36] 363
[2023-12-18 09:45:37] 353
[2023-12-18 09:45:38] 350
[2023-12-18 09:45:44] 346
[2023-12-18 09:45:45] 349
[2023-12-18 09:45:46] 351
[2023-12-18 09:45:47] 347
[2023-12-18 09:45:48] 346
[2023-12-18 09:45:49] 345
[2023-12-18 09:45:50] 345
